Region,Country,Item Type,,,
Europe,Slovenia,Cereal,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,,,
Sub-Saharan Africa,Guinea,Household,,,
Asia,Philippines,Baby Food,,,
Middle East and North Africa,Saudi Arabia,Clothes,,,
Sub-Saharan Africa,Burundi,Snacks,,,
Europe,Cyprus,Personal Care,,,
Australia and Oceania,Kiribati,Clothes,,,
Sub-Saharan Africa,Central African Republic,Fruits,,,
Sub-Saharan Africa,Botswana,Beverages,,,
Europe,Belgium,Meat,,,
Australia and Oceania,Fiji,Household,,,
Europe,Belarus,Beverages,,,
Asia,Cambodia,Snacks,,,
Asia,Sri Lanka,Clothes,,,
Europe,Serbia,Baby Food,,,
Europe,Malta,Baby Food,,,
Asia,Thailand,Household,,,
Middle East and North Africa,Azerbaijan,Office Supplies,,,
Australia and Oceania,Vanuatu,Baby Food,,,
Europe,Slovenia,Personal Care,,,
Europe,Liechtenstein,Snacks,,,
Sub-Saharan Africa,Sao Tome and Principe,Clothes,,,
Sub-Saharan Africa,Sudan,Beverages,,,
Sub-Saharan Africa,Zambia,Baby Food,,,
Middle East and North Africa,Tunisia ,Meat,,,
Central America and the Caribbean,El Salvador,Baby Food,,,
North America,United States of America,Snacks,,,
Asia,Mongolia,Office Supplies,,,
Asia,Mongolia,Snacks,,,
Sub-Saharan Africa,Malawi,Office Supplies,,,
Europe,Latvia,Cereal,,,
Europe,Macedonia,Cereal,,,
Europe,Belgium,Cereal,,,
Sub-Saharan Africa,Sierra Leone,Cereal,,,
Sub-Saharan Africa,Niger,Snacks,,,
Europe,Croatia,Cosmetics,,,
Europe,Bulgaria,Office Supplies,,,
Middle East and North Africa,Lebanon,Office Supplies,,,
Europe,Albania,Office Supplies,,,
Middle East and North Africa,Jordan,Beverages,,,
Europe,United Kingdom,Cosmetics,,,
Middle East and North Africa,Morocco,Office Supplies,,,
Asia,Sri Lanka,Snacks,,,
Europe,Montenegro,Personal Care,,,
Europe,Estonia,Office Supplies,,,
Europe,Bosnia and Herzegovina,Meat,,,
Sub-Saharan Africa,Gabon,Meat,,,
Europe,San Marino,Vegetables,,,
Middle East and North Africa,Bahrain,Meat,,,
Sub-Saharan Africa,Swaziland,Clothes,,,
Central America and the Caribbean,Honduras,Personal Care,,,
Sub-Saharan Africa,Comoros,Office Supplies,,,
Europe,Luxembourg,Personal Care,,,
Europe,Greece,Meat,,,
Asia,Philippines,Cosmetics,,,
North America,Greenland,Baby Food,,,
Europe,Serbia,Snacks,,,
Asia,Vietnam,Snacks,,,
Central America and the Caribbean,Haiti,Household,,,
Europe,Greece,Office Supplies,,,
Sub-Saharan Africa,Lesotho,Personal Care,,,
Central America and the Caribbean,Nicaragua,Cereal,,,
Central America and the Caribbean,Antigua and Barbuda ,Fruits,,,
Central America and the Caribbean,Guatemala,Clothes,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,,,
Middle East and North Africa,Qatar,Vegetables,,,
Europe,Estonia,Cereal,,,
Sub-Saharan Africa,Benin,Vegetables,,,
Sub-Saharan Africa,Chad,Fruits,,,
Europe,France,Baby Food,,,
Europe,Hungary,Vegetables,,,
Australia and Oceania,Federated States of Micronesia,Vegetables,,,
Asia,Uzbekistan,Household,,,
Europe,Kosovo,Cosmetics,,,
Asia,North Korea,Vegetables,,,
Sub-Saharan Africa,Senegal,Baby Food,,,
Europe,Malta,Vegetables,,,
Sub-Saharan Africa,Guinea,Cereal,,,
Sub-Saharan Africa,Madagascar,Vegetables,,,
Sub-Saharan Africa,Malawi,Office Supplies,,,
Australia and Oceania,Papua New Guinea,Personal Care,,,
Sub-Saharan Africa,Sudan,Beverages,,,
Asia,Bangladesh,Office Supplies,,,
Middle East and North Africa,Israel,Baby Food,,,
Middle East and North Africa,Jordan,Personal Care,,,
Asia,Vietnam,Baby Food,,,
Asia,Mongolia,Snacks,,,
Europe,Malta,Snacks,,,
Europe,Serbia,Meat,,,
Australia and Oceania,Nauru,Office Supplies,,,
Europe,Montenegro,Snacks,,,
Sub-Saharan Africa,Zambia,Fruits,,,
Middle East and North Africa,Tunisia ,Household,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,,,
Europe,San Marino,Household,,,
Asia,Kyrgyzstan,Vegetables,,,
Sub-Saharan Africa,Zambia,Fruits,,,
Sub-Saharan Africa,Senegal,Office Supplies,,,
Central America and the Caribbean,Guatemala,Meat,,,
Europe,Andorra,Vegetables,,,
Sub-Saharan Africa,Sierra Leone,Office Supplies,,,
Sub-Saharan Africa,The Gambia,Office Supplies,,,
Middle East and North Africa,Saudi Arabia,Personal Care,,,
Australia and Oceania,Papua New Guinea,Personal Care,,,
Europe,Ukraine,Meat,,,
Sub-Saharan Africa,Niger,Household,,,
Sub-Saharan Africa,Ghana,Cosmetics,,,
North America,Greenland,Cosmetics,,,
Europe,Albania,Personal Care,,,
Europe,Slovenia,Office Supplies,,,
Central America and the Caribbean,Grenada,Office Supplies,,,
Europe,Kosovo,Office Supplies,,,
North America,Mexico,Baby Food,,,
Asia,Vietnam,Beverages,,,
Middle East and North Africa,Algeria,Meat,,,
Australia and Oceania,Fiji,Office Supplies,,,
Sub-Saharan Africa,Djibouti,Snacks,,,
Middle East and North Africa,Israel,Fruits,,,
Sub-Saharan Africa,Namibia,Clothes,,,
Central America and the Caribbean,Costa Rica,Meat,,,
Middle East and North Africa,Syria,Meat,,,
Asia,India,Snacks,,,
Asia,India,Vegetables,,,
Sub-Saharan Africa,Cote d'Ivoire,Snacks,,,
Europe,Slovakia,Cereal,,,
Asia,Mongolia,Clothes,,,
Middle East and North Africa,Bahrain,Office Supplies,,,
Sub-Saharan Africa,Kenya,Household,,,
Sub-Saharan Africa,Sierra Leone,Clothes,,,
Sub-Saharan Africa,Ethiopia,Fruits,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,,,
Middle East and North Africa,Azerbaijan,Cosmetics,,,
Sub-Saharan Africa,Liberia,Beverages,,,
Europe,Monaco,Personal Care,,,
Sub-Saharan Africa,Seychelles ,Cosmetics,,,
Middle East and North Africa,Turkey,Personal Care,,,
Sub-Saharan Africa,Angola,Personal Care,,,
North America,Mexico,Baby Food,,,
Middle East and North Africa,Somalia,Fruits,,,
Europe,San Marino,Cosmetics,,,
Sub-Saharan Africa,Tanzania,Cereal,,,
Europe,Slovakia,Personal Care,,,
Middle East and North Africa,Iran,Clothes,,,
Middle East and North Africa,Somalia,Cereal,,,
Sub-Saharan Africa,Sudan,Household,,,
Sub-Saharan Africa,Benin,Household,,,
Asia,Malaysia,Beverages,,,
Australia and Oceania,Federated States of Micronesia,Household,,,
Asia,Japan,Meat,,,
Europe,Slovenia,Office Supplies,,,
Europe,Finland,Beverages,,,
Australia and Oceania,Vanuatu,Beverages,,,
Sub-Saharan Africa,Guinea-Bissau,Clothes,,,
Europe,Iceland,Baby Food,,,
Europe,Kosovo,Cereal,,,
Sub-Saharan Africa,Malawi,Fruits,,,
Europe,Slovakia,Clothes,,,
Sub-Saharan Africa,Comoros,Snacks,,,
Central America and the Caribbean,Honduras,Office Supplies,,,
Sub-Saharan Africa,Guinea,Clothes,,,
Central America and the Caribbean,Dominica,Personal Care,,,
Sub-Saharan Africa,Uganda,Beverages,,,
Europe,Montenegro,Vegetables,,,
Europe,Belgium,Clothes,,,
Europe,Serbia,Household,,,
Europe,Iceland,Personal Care,,,
Middle East and North Africa,United Arab Emirates,Baby Food,,,
Sub-Saharan Africa,Mali,Office Supplies,,,
Central America and the Caribbean,Costa Rica,Baby Food,,,
Europe,United Kingdom,Cereal,,,
Europe,San Marino,Household,,,
Sub-Saharan Africa,Cameroon,Baby Food,,,
Europe,Albania,Beverages,,,
Sub-Saharan Africa,Ethiopia,Meat,,,
Europe,Switzerland,Office Supplies,,,
Europe,Germany,Household,,,
Australia and Oceania,Tonga,Household,,,
Europe,Portugal,Cosmetics,,,
Sub-Saharan Africa,Gabon,Household,,,
Middle East and North Africa,Pakistan,Household,,,
Asia,Taiwan,Vegetables,,,
Asia,Malaysia,Fruits,,,
Central America and the Caribbean,Honduras,Office Supplies,,,
Sub-Saharan Africa,Burundi,Cosmetics,,,
Asia,Laos,Vegetables,,,
Australia and Oceania,Solomon Islands,Baby Food,,,
Europe,Ukraine,Cereal,,,
Middle East and North Africa,Afghanistan,Office Supplies,,,
Middle East and North Africa,Tunisia ,Household,,,
Central America and the Caribbean,Grenada,Household,,,
Sub-Saharan Africa,Nigeria,Clothes,,,
Asia,Cambodia,Clothes,,,
Asia,Malaysia,Clothes,,,
Europe,Denmark,Vegetables,,,
Asia,Bhutan,Clothes,,,
Sub-Saharan Africa,Comoros,Cosmetics,,,
Australia and Oceania,Kiribati,Household,,,
Central America and the Caribbean,Cuba,Office Supplies,,,
Europe,Macedonia,Cosmetics,,,
Central America and the Caribbean,Jamaica,Cereal,,,
Middle East and North Africa,Tunisia ,Household,,,
Sub-Saharan Africa,The Gambia,Beverages,,,
Europe,Slovakia,Vegetables,,,
Middle East and North Africa,Bahrain,Personal Care,,,
Europe,Malta,Cereal,,,
Europe,Albania,Fruits,,,
Central America and the Caribbean,Haiti,Office Supplies,,,
Sub-Saharan Africa,Eritrea,Baby Food,,,
Sub-Saharan Africa,Senegal,Beverages,,,
Europe,Ukraine,Meat,,,
Middle East and North Africa,Lebanon,Household,,,
Sub-Saharan Africa,Ghana,Office Supplies,,,
Australia and Oceania,Nauru,Personal Care,,,
Sub-Saharan Africa,Zambia,Baby Food,,,
Sub-Saharan Africa,Angola,Fruits,,,
Central America and the Caribbean,Panama,Cosmetics,,,
Asia,Turkmenistan,Cosmetics,,,
Sub-Saharan Africa,Senegal,Snacks,,,
Europe,Liechtenstein,Office Supplies,,,
Sub-Saharan Africa,Gabon,Office Supplies,,,
Sub-Saharan Africa,Lesotho,Baby Food,,,
Sub-Saharan Africa,The Gambia,Vegetables,,,
Sub-Saharan Africa,Mozambique,Office Supplies,,,
North America,Greenland,Office Supplies,,,
Europe,Czech Republic,Cosmetics,,,
Asia,China,Personal Care,,,
Europe,Estonia,Office Supplies,,,
Europe,Italy,Office Supplies,,,
Middle East and North Africa,Bahrain,Baby Food,,,
Asia,South Korea,Baby Food,,,
Europe,France,Household,,,
Sub-Saharan Africa,Comoros,Meat,,,
Sub-Saharan Africa,Central African Republic,Household,,,
Middle East and North Africa,Yemen,Household,,,
Middle East and North Africa,United Arab Emirates,Vegetables,,,
Sub-Saharan Africa,Zambia,Baby Food,,,
Europe,Estonia,Office Supplies,,,
Asia,Kyrgyzstan,Snacks,,,
Europe,San Marino,Clothes,,,
Europe,Latvia,Cereal,,,
Europe,Slovakia,Meat,,,
Sub-Saharan Africa,Nigeria,Household,,,
Europe,Macedonia,Baby Food,,,
Central America and the Caribbean,Costa Rica,Baby Food,,,
Central America and the Caribbean,The Bahamas,Cereal,,,
Asia,Cambodia,Meat,,,
Europe,Russia,Vegetables,,,
Sub-Saharan Africa,Sao Tome and Principe,Baby Food,,,
Australia and Oceania,Nauru,Vegetables,,,
Australia and Oceania,Vanuatu,Office Supplies,,,
Asia,South Korea,Cereal,,,
Central America and the Caribbean,Nicaragua,Fruits,,,
Asia,Mongolia,Meat,,,
Middle East and North Africa,Iraq,Clothes,,,
Central America and the Caribbean,Costa Rica,Vegetables,,,
Europe,Cyprus,Beverages,,,
Europe,Finland,Beverages,,,
Australia and Oceania,Samoa ,Household,,,
Europe,Monaco,Vegetables,,,
Europe,Czech Republic,Vegetables,,,
Middle East and North Africa,Afghanistan,Household,,,
Sub-Saharan Africa,Madagascar,Office Supplies,,,
Asia,Japan,Office Supplies,,,
Asia,South Korea,Household,,,
Sub-Saharan Africa,Uganda,Baby Food,,,
Asia,Japan,Cosmetics,,,
Sub-Saharan Africa,Madagascar,Household,,,
Sub-Saharan Africa,Zimbabwe,Cosmetics,,,
Asia,Cambodia,Cosmetics,,,
Asia,Taiwan,Cosmetics,,,
Asia,Taiwan,Fruits,,,
Europe,Bulgaria,Baby Food,,,
Sub-Saharan Africa,Swaziland,Vegetables,,,
Europe,Moldova ,Personal Care,,,
Europe,Latvia,Personal Care,,,
Central America and the Caribbean,Saint Lucia,Office Supplies,,,
Australia and Oceania,Fiji,Snacks,,,
Europe,Kosovo,Clothes,,,
Asia,North Korea,Clothes,,,
Europe,Denmark,Personal Care,,,
North America,United States of America,Clothes,,,
Europe,Latvia,Snacks,,,
Europe,San Marino,Baby Food,,,
Sub-Saharan Africa,Guinea,Snacks,,,
Asia,Vietnam,Office Supplies,,,
Sub-Saharan Africa,Sierra Leone,Baby Food,,,
Asia,Nepal,Personal Care,,,
Europe,Hungary,Fruits,,,
Asia,Thailand,Beverages,,,
Middle East and North Africa,Kuwait,Meat,,,
Europe,Belgium,Household,,,
North America,Canada,Cosmetics,,,
Sub-Saharan Africa,Uganda,Personal Care,,,
Sub-Saharan Africa,Madagascar,Personal Care,,,
Europe,Spain,Office Supplies,,,
Sub-Saharan Africa,Botswana,Clothes,,,
Sub-Saharan Africa,Sudan,Personal Care,,,
Asia,Maldives,Office Supplies,,,
Asia,Philippines,Fruits,,,
Middle East and North Africa,Jordan,Cosmetics,,,
Europe,Portugal,Cosmetics,,,
Europe,Monaco,Fruits,,,
Europe,Ukraine,Cosmetics,,,
Europe,Slovenia,Clothes,,,
Asia,South Korea,Personal Care,,,
Europe,Armenia,Vegetables,,,
Asia,Vietnam,Meat,,,
Australia and Oceania,Tonga,Personal Care,,,
Asia,Laos,Beverages,,,
Asia,China,Snacks,,,
Europe,Kosovo,Office Supplies,,,
Asia,Maldives,Baby Food,,,
Sub-Saharan Africa,Uganda,Meat,,,
Asia,Malaysia,Baby Food,,,
Sub-Saharan Africa,Benin,Fruits,,,
Middle East and North Africa,Iran,Fruits,,,
Australia and Oceania,Papua New Guinea,Personal Care,,,
Sub-Saharan Africa,Mauritius ,Baby Food,,,
Europe,Iceland,Cereal,,,
Sub-Saharan Africa,Burundi,Office Supplies,,,
Sub-Saharan Africa,Burkina Faso,Fruits,,,
Sub-Saharan Africa,Burundi,Cereal,,,
Australia and Oceania,East Timor,Cosmetics,,,
Asia,Bhutan,Clothes,,,
Europe,Malta,Snacks,,,
Asia,Laos,Personal Care,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Clothes,,,
Central America and the Caribbean,Antigua and Barbuda ,Meat,,,
Central America and the Caribbean,Honduras,Meat,,,
Europe,Ireland,Meat,,,
Middle East and North Africa,Egypt,Cereal,,,
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,,,
Sub-Saharan Africa,Botswana,Meat,,,
Asia,China,Cosmetics,,,
Sub-Saharan Africa,Burkina Faso,Vegetables,,,
Australia and Oceania,Kiribati,Fruits,,,
Australia and Oceania,Tonga,Baby Food,,,
Europe,Liechtenstein,Snacks,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Household,,,
Central America and the Caribbean,Dominican Republic,Personal Care,,,
Australia and Oceania,Papua New Guinea,Vegetables,,,
Australia and Oceania,East Timor,Clothes,,,
Europe,Slovenia,Office Supplies,,,
Asia,Nepal,Fruits,,,
Asia,India,Personal Care,,,
Asia,Bhutan,Baby Food,,,
Central America and the Caribbean,Honduras,Clothes,,,
Sub-Saharan Africa,Rwanda,Office Supplies,,,
Central America and the Caribbean,Barbados,Baby Food,,,
Asia,Japan,Snacks,,,
Europe,Malta,Beverages,,,
Middle East and North Africa,United Arab Emirates,Vegetables,,,
Australia and Oceania,Tuvalu,Snacks,,,
Europe,Montenegro,Personal Care,,,
Europe,Cyprus,Baby Food,,,
Sub-Saharan Africa,Eritrea,Cosmetics,,,
Sub-Saharan Africa,Comoros,Vegetables,,,
Central America and the Caribbean,Guatemala,Vegetables,,,
Sub-Saharan Africa,Comoros,Office Supplies,,,
Sub-Saharan Africa,Central African Republic,Cosmetics,,,
Asia,Thailand,Household,,,
Australia and Oceania,Federated States of Micronesia,Office Supplies,,,
Asia,Bhutan,Fruits,,,
North America,Canada,Personal Care,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Cereal,,,
Sub-Saharan Africa,South Africa,Beverages,,,
Central America and the Caribbean,Guatemala,Clothes,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,,,
Sub-Saharan Africa,Burundi,Clothes,,,
Sub-Saharan Africa,Liberia,Cosmetics,,,
Australia and Oceania,East Timor,Cosmetics,,,
Europe,Portugal,Office Supplies,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Baby Food,,,
Asia,Philippines,Office Supplies,,,
Europe,Hungary,Clothes,,,
Europe,Hungary,Fruits,,,
Sub-Saharan Africa,Zimbabwe,Beverages,,,
Middle East and North Africa,Libya,Clothes,,,
Europe,Estonia,Personal Care,,,
Sub-Saharan Africa,Lesotho,Office Supplies,,,
Australia and Oceania,East Timor,Clothes,,,
Europe,Vatican City,Meat,,,
Middle East and North Africa,Saudi Arabia,Baby Food,,,
Asia,Singapore,Baby Food,,,
Asia,Malaysia,Clothes,,,
Europe,Poland,Clothes,,,
Europe,San Marino,Cosmetics,,,
Sub-Saharan Africa,Ethiopia,Vegetables,,,
Sub-Saharan Africa,The Gambia,Cosmetics,,,
Europe,Lithuania,Beverages,,,
Europe,Romania,Vegetables,,,
Asia,Sri Lanka,Personal Care,,,
Europe,Latvia,Cosmetics,,,
Sub-Saharan Africa,Kenya,Cereal,,,
Central America and the Caribbean,Guatemala,Clothes,,,
Central America and the Caribbean,Grenada,Beverages,,,
Europe,Kosovo,Baby Food,,,
Australia and Oceania,Tuvalu,Office Supplies,,,
Europe,Bosnia and Herzegovina,Personal Care,,,
Central America and the Caribbean,Nicaragua,Household,,,
Middle East and North Africa,Afghanistan,Snacks,,,
Europe,Montenegro,Vegetables,,,
Australia and Oceania,Papua New Guinea,Baby Food,,,
Central America and the Caribbean,El Salvador,Baby Food,,,
Asia,Malaysia,Beverages,,,
North America,Canada,Snacks,,,
Asia,Bhutan,Vegetables,,,
Sub-Saharan Africa,Zimbabwe,Cereal,,,
Central America and the Caribbean,Belize,Meat,,,
Sub-Saharan Africa,Botswana,Vegetables,,,
Sub-Saharan Africa,Mauritius ,Clothes,,,
Australia and Oceania,Tonga,Cosmetics,,,
Asia,North Korea,Snacks,,,
Europe,Andorra,Beverages,,,
Sub-Saharan Africa,Mauritius ,Office Supplies,,,
Middle East and North Africa,Oman,Meat,,,
Sub-Saharan Africa,Zimbabwe,Baby Food,,,
Sub-Saharan Africa,Equatorial Guinea,Snacks,,,
Europe,Liechtenstein,Household,,,
Asia,Cambodia,Vegetables,,,
Central America and the Caribbean,Costa Rica,Fruits,,,
Europe,Russia,Fruits,,,
Australia and Oceania,Tonga,Personal Care,,,
Sub-Saharan Africa,Lesotho,Clothes,,,
Europe,Monaco,Beverages,,,
Sub-Saharan Africa,Sudan,Meat,,,
Australia and Oceania,Samoa ,Meat,,,
Australia and Oceania,Kiribati,Cereal,,,
Sub-Saharan Africa,Togo,Cosmetics,,,
Europe,Iceland,Clothes,,,
Sub-Saharan Africa,Guinea,Personal Care,,,
Sub-Saharan Africa,South Africa,Personal Care,,,
Europe,Iceland,Cosmetics,,,
Europe,Georgia,Fruits,,,
Sub-Saharan Africa,Kenya,Cereal,,,
Asia,Bangladesh,Vegetables,,,
Europe,Albania,Fruits,,,
Middle East and North Africa,Qatar,Cosmetics,,,
Europe,Lithuania,Cosmetics,,,
Sub-Saharan Africa,Cote d'Ivoire,Household,,,
Australia and Oceania,Tuvalu,Office Supplies,,,
Europe,Lithuania,Household,,,
Asia,Laos,Cosmetics,,,
Europe,Poland,Clothes,,,
Australia and Oceania,Marshall Islands,Cosmetics,,,
Europe,Belarus,Cereal,,,
Middle East and North Africa,Azerbaijan,Cereal,,,
Central America and the Caribbean,El Salvador,Snacks,,,
Europe,Vatican City,Meat,,,
Europe,Austria,Personal Care,,,
Asia,Nepal,Office Supplies,,,
Central America and the Caribbean,Antigua and Barbuda ,Cereal,,,
Middle East and North Africa,Azerbaijan,Household,,,
Sub-Saharan Africa,Mali,Office Supplies,,,
Europe,Albania,Cereal,,,
Sub-Saharan Africa,Djibouti,Clothes,,,
Middle East and North Africa,Somalia,Baby Food,,,
Middle East and North Africa,Tunisia ,Snacks,,,
Asia,Singapore,Personal Care,,,
North America,Greenland,Cereal,,,
Middle East and North Africa,Iran,Household,,,
Asia,China,Beverages,,,
Australia and Oceania,Vanuatu,Baby Food,,,
Europe,Ireland,Fruits,,,
Europe,Hungary,Snacks,,,
North America,Greenland,Beverages,,,
Europe,Georgia,Meat,,,
Sub-Saharan Africa,Benin,Meat,,,
Middle East and North Africa,Saudi Arabia,Clothes,,,
Middle East and North Africa,Kuwait,Cosmetics,,,
Central America and the Caribbean,Cuba,Office Supplies,,,
Sub-Saharan Africa,Malawi,Cereal,,,
Middle East and North Africa,Iran,Household,,,
Europe,Lithuania,Snacks,,,
Asia,Mongolia,Snacks,,,
Middle East and North Africa,Jordan,Cereal,,,
Central America and the Caribbean,El Salvador,Clothes,,,
Central America and the Caribbean,Costa Rica,Cosmetics,,,
Europe,Albania,Cereal,,,
Middle East and North Africa,Saudi Arabia,Beverages,,,
Sub-Saharan Africa,Uganda,Fruits,,,
Asia,Singapore,Fruits,,,
North America,United States of America,Office Supplies,,,
Europe,Georgia,Household,,,
Europe,Sweden,Office Supplies,,,
Europe,Liechtenstein,Office Supplies,,,
Europe,Czech Republic,Beverages,,,
Australia and Oceania,Kiribati,Personal Care,,,
Sub-Saharan Africa,Mali,Office Supplies,,,
Sub-Saharan Africa,Sudan,Snacks,,,
Asia,Bangladesh,Beverages,,,
Europe,Lithuania,Snacks,,,
Middle East and North Africa,Morocco,Meat,,,
Australia and Oceania,Kiribati,Snacks,,,
Australia and Oceania,Tuvalu,Personal Care,,,
Middle East and North Africa,Azerbaijan,Clothes,,,
Asia,Turkmenistan,Snacks,,,
Australia and Oceania,Tonga,Meat,,,
Sub-Saharan Africa,Cameroon,Cosmetics,,,
Central America and the Caribbean,Grenada,Meat,,,
Australia and Oceania,Papua New Guinea,Household,,,
Europe,Moldova ,Cereal,,,
Europe,Ukraine,Snacks,,,
Asia,Vietnam,Fruits,,,
Asia,Thailand,Cosmetics,,,
Sub-Saharan Africa,Botswana,Snacks,,,
Sub-Saharan Africa,Seychelles ,Snacks,,,
Middle East and North Africa,Israel,Fruits,,,
Asia,Cambodia,Clothes,,,
Asia,Tajikistan,Beverages,,,
Middle East and North Africa,Afghanistan,Office Supplies,,,
Asia,Vietnam,Snacks,,,
Asia,Kazakhstan,Office Supplies,,,
Middle East and North Africa,Israel,Household,,,
Sub-Saharan Africa,Guinea,Clothes,,,
Europe,Macedonia,Baby Food,,,
Central America and the Caribbean,Honduras,Office Supplies,,,
Middle East and North Africa,Yemen,Cosmetics,,,
Asia,Vietnam,Cereal,,,
Europe,Luxembourg,Cosmetics,,,
Asia,Vietnam,Cereal,,,
Sub-Saharan Africa,Guinea-Bissau,Clothes,,,
Sub-Saharan Africa,Benin,Personal Care,,,
North America,Greenland,Office Supplies,,,
Asia,Cambodia,Personal Care,,,
Asia,Tajikistan,Meat,,,
Sub-Saharan Africa,Ethiopia,Personal Care,,,
Middle East and North Africa,Kuwait,Cereal,,,
Central America and the Caribbean,Trinidad and Tobago,Cereal,,,
Sub-Saharan Africa,Central African Republic,Clothes,,,
Sub-Saharan Africa,Madagascar,Cosmetics,,,
Sub-Saharan Africa,Malawi,Fruits,,,
Europe,Portugal,Snacks,,,
Australia and Oceania,East Timor,Clothes,,,
Middle East and North Africa,Morocco,Personal Care,,,
Sub-Saharan Africa,Ethiopia,Fruits,,,
Sub-Saharan Africa,Rwanda,Baby Food,,,
Middle East and North Africa,Lebanon,Personal Care,,,
Europe,Lithuania,Cosmetics,,,
Europe,Poland,Fruits,,,
Middle East and North Africa,Libya,Beverages,,,
Australia and Oceania,Fiji,Personal Care,,,
Sub-Saharan Africa,Liberia,Baby Food,,,
Europe,Croatia,Meat,,,
Australia and Oceania,New Zealand,Clothes,,,
North America,Canada,Snacks,,,
Sub-Saharan Africa,The Gambia,Office Supplies,,,
Sub-Saharan Africa,Ethiopia,Cosmetics,,,
Europe,Spain,Clothes,,,
Europe,Latvia,Clothes,,,
Sub-Saharan Africa,Cote d'Ivoire,Meat,,,
Middle East and North Africa,Algeria,Personal Care,,,
Middle East and North Africa,Somalia,Cereal,,,
Australia and Oceania,Marshall Islands,Office Supplies,,,
Asia,Nepal,Personal Care,,,
Australia and Oceania,Kiribati,Clothes,,,
Central America and the Caribbean,Dominica,Beverages,,,
Central America and the Caribbean,Barbados,Baby Food,,,
Europe,Albania,Snacks,,,
Europe,Sweden,Cosmetics,,,
Australia and Oceania,Federated States of Micronesia,Personal Care,,,
Sub-Saharan Africa,Burkina Faso,Beverages,,,
Sub-Saharan Africa,Benin,Office Supplies,,,
Middle East and North Africa,Yemen,Snacks,,,
Sub-Saharan Africa,Cote d'Ivoire,Fruits,,,
Sub-Saharan Africa,Cameroon,Cosmetics,,,
Sub-Saharan Africa,Burkina Faso,Household,,,
Central America and the Caribbean,Jamaica,Baby Food,,,
Europe,Czech Republic,Cosmetics,,,
Australia and Oceania,Vanuatu,Cosmetics,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Clothes,,,
Australia and Oceania,Tonga,Baby Food,,,
Middle East and North Africa,Azerbaijan,Meat,,,
Asia,Brunei,Baby Food,,,
Middle East and North Africa,Kuwait,Beverages,,,
Sub-Saharan Africa,The Gambia,Baby Food,,,
Central America and the Caribbean,Nicaragua,Meat,,,
Asia,Vietnam,Snacks,,,
Europe,Switzerland,Vegetables,,,
Europe,France,Cosmetics,,,
Asia,Vietnam,Vegetables,,,
Sub-Saharan Africa,Liberia,Cereal,,,
Asia,Malaysia,Fruits,,,
Middle East and North Africa,Azerbaijan,Clothes,,,
Asia,Singapore,Vegetables,,,
Europe,Hungary,Snacks,,,
Europe,Austria,Snacks,,,
Central America and the Caribbean,Grenada,Beverages,,,
Australia and Oceania,East Timor,Personal Care,,,
Europe,Andorra,Vegetables,,,
Central America and the Caribbean,Barbados,Vegetables,,,
Asia,Maldives,Baby Food,,,
Asia,Bangladesh,Office Supplies,,,
Australia and Oceania,Australia,Snacks,,,
Europe,Belgium,Baby Food,,,
Australia and Oceania,Vanuatu,Cosmetics,,,
Sub-Saharan Africa,Gabon,Baby Food,,,
Sub-Saharan Africa,Republic of the Congo,Office Supplies,,,
Sub-Saharan Africa,Zambia,Cereal,,,
Sub-Saharan Africa,The Gambia,Personal Care,,,
Central America and the Caribbean,Costa Rica,Personal Care,,,
Asia,South Korea,Meat,,,
Sub-Saharan Africa,Madagascar,Household,,,
Sub-Saharan Africa,Kenya,Personal Care,,,
Sub-Saharan Africa,South Sudan,Vegetables,,,
Europe,Germany,Cosmetics,,,
Europe,Hungary,Cereal,,,
Europe,Portugal,Fruits,,,
Asia,Malaysia,Meat,,,
Asia,Cambodia,Household,,,
Asia,India,Personal Care,,,
Middle East and North Africa,Libya,Beverages,,,
Central America and the Caribbean,Antigua and Barbuda ,Fruits,,,
Europe,Norway,Fruits,,,
Middle East and North Africa,Israel,Fruits,,,
Europe,Moldova ,Clothes,,,
Sub-Saharan Africa,Equatorial Guinea,Beverages,,,
Asia,Kyrgyzstan,Cereal,,,
Middle East and North Africa,Tunisia ,Vegetables,,,
Europe,Vatican City,Beverages,,,
Asia,China,Personal Care,,,
Middle East and North Africa,Turkey,Office Supplies,,,
Central America and the Caribbean,Honduras,Cosmetics,,,
Sub-Saharan Africa,Zimbabwe,Clothes,,,
Sub-Saharan Africa,Namibia,Personal Care,,,
Europe,Monaco,Meat,,,
Sub-Saharan Africa,Chad,Beverages,,,
Australia and Oceania,Tuvalu,Vegetables,,,
North America,United States of America,Cereal,,,
Asia,Bhutan,Meat,,,
